StalkId,PlantId,x,z,ChannelStart,Universe,IPAddress,StemIndex
380,54,-147.9684,-322.6837,196,4,192.168.0.226,2
381,54,-150.8398,-320.4343,199,4,192.168.0.226,3
382,54,-146.9893,-313.6227,202,4,192.168.0.226,4
383,54,-140.9384,-317.2982,205,4,192.168.0.226,5
384,54,-140.595,-322.6661,208,4,192.168.0.226,6
385,55,326.1039,138.2989,22,4,192.168.0.221,0
386,55,324.5321,137.632,25,4,192.168.0.221,1
387,55,329.6712,139.0864,28,4,192.168.0.221,2
388,55,330.269,135.4881,31,4,192.168.0.221,3
389,55,322.8286,133.0664,34,4,192.168.0.221,4
390,55,320.8496,139.8639,37,4,192.168.0.221,5
391,55,324.2224,144.054,40,4,192.168.0.221,6
392,56,-336.5137,119.236,442,2,192.168.0.222,0
393,56,-334.9043,118.666,445,2,192.168.0.222,1
394,56,-339.6761,121.065,448,2,192.168.0.222,2
395,56,-337.6863,124.1221,451,2,192.168.0.222,3
396,56,-330.5641,120.8819,454,2,192.168.0.222,4
397,56,-333.6965,114.5328,457,2,192.168.0.222,5
398,56,-339.0139,113.7214,460,2,192.168.0.222,6
399,57,168.8945,-317.6818,274,1,192.168.0.226,0
400,57,168.0928,-316.1743,277,1,192.168.0.226,1
401,57,169.9908,-321.1666,280,1,192.168.0.226,2
402,57,166.4586,-322.0767,283,1,192.168.0.226,3
403,57,163.3957,-314.8765,286,1,192.168.0.226,4
404,57,169.9942,-312.3108,289,1,192.168.0.226,5
405,57,174.4631,-315.3043,292,1,192.168.0.226,6
406,58,90.74204,351.0004,85,1,192.168.0.221,0
407,58,90.31489,349.3473,88,1,192.168.0.221,1
408,58,92.28756,354.3105,91,1,192.168.0.221,2
409,58,95.50684,352.5956,94,1,192.168.0.221,3
410,58,92.90175,345.2175,97,1,192.168.0.221,4
411,58,86.30307,347.7828,100,1,192.168.0.221,5
412,58,85.02994,353.0089,103,1,192.168.0.221,6
413,59,-306.2983,-199.0101,484,2,192.168.0.224,0
414,59,-304.8667,-198.0796,487,2,192.168.0.224,1
415,59,-309.6739,-200.4069,490,2,192.168.0.224,2
416,59,-310.8893,-196.9678,493,2,192.168.0.224,3
417,59,-303.9845,-193.2871,496,2,192.168.0.224,4
418,59,-300.8517,-199.636,499,2,192.168.0.224,5
419,59,-303.4431,-204.3495,502,2,192.168.0.224,6
420,60,362.9588,-60.60388,295,2,192.168.0.225,0
421,60,361.2747,-60.32289,298,2,192.168.0.225,1
422,60,366.3914,-61.85409,301,2,192.168.0.225,2
423,60,364.9645,-65.21098,304,2,192.168.0.225,3
424,60,357.3869,-63.2609,307,2,192.168.0.225,4
425,60,359.3654,-56.46321,310,2,192.168.0.225,5
426,60,364.4602,-54.73806,313,2,192.168.0.225,6
427,61,-228.3558,291.9826,232,4,192.168.0.222,0
428,61,-227.3037,290.6378,235,4,192.168.0.222,1
429,61,-230.0424,295.2232,238,4,192.168.0.222,2
430,61,-226.7227,296.7346,241,4,192.168.0.222,3
431,61,-222.4524,290.178,244,4,192.168.0.222,4
432,61,-228.5031,286.5022,247,4,192.168.0.222,5
433,61,-233.4251,288.6715,250,4,192.168.0.222,6
434,62,-29.0566,-372.2152,43,3,192.168.0.226,0
435,62,-28.92392,-370.5129,46,3,192.168.0.226,1
436,62,-30.00192,-375.744,49,3,192.168.0.226,2
437,62,-33.4707,-374.616,52,3,192.168.0.226,3
438,62,-32.19058,-366.8969,55,3,192.168.0.226,4
439,62,-25.24593,-368.2736,58,3,192.168.0.226,5
440,62,-23.08197,-373.198,61,3,192.168.0.226,6
441,63,274.792,256.6437,400,3,192.168.0.221,0
442,63,273.5443,255.4781,403,3,192.168.0.221,1
443,63,277.8727,258.6071,406,3,192.168.0.221,2
444,63,279.6685,255.4323,409,3,192.168.0.221,3
445,63,273.5104,250.6052,412,3,192.168.0.221,4
446,63,269.3196,256.3114,415,3,192.168.0.221,5
447,63,271.0503,261.4042,418,3,192.168.0.221,6
448,64,-378.618,-3.64752,295,1,192.168.0.222,0
449,64,-376.9106,-3.630869,298,1,192.168.0.222,1
450,64,-382.2159,-3.014328,301,1,192.168.0.222,2
451,64,-381.3954,0.5397843,304,1,192.168.0.222,3
452,64,-373.594,-0.06058234,307,1,192.168.0.222,4
453,64,-374.3583,-7.098997,310,1,192.168.0.222,5
454,64,-379.0746,-9.685193,313,1,192.168.0.222,6
455,65,283.5914,-254.8116,106,4,192.168.0.225,0
456,65,282.3212,-253.6706,109,4,192.168.0.225,1
457,65,285.8167,-257.7088,112,4,192.168.0.225,2
458,65,282.811,-259.7754,115,4,192.168.0.225,3
459,65,277.4639,-254.0628,118,4,192.168.0.225,4
460,65,282.7819,-249.3892,121,4,192.168.0.225,5
461,65,288.0066,-250.6681,124,4,192.168.0.225,6
462,66,-37.24118,382.0396,43,2,192.168.0.223,0
463,66,-37.07533,380.3402,46,2,192.168.0.223,1
464,66,-36.92496,385.6791,49,2,192.168.0.223,2
465,66,-33.31273,385.1726,52,2,192.168.0.223,3
466,66,-33.22875,377.3484,55,2,192.168.0.223,4
467,66,-40.30704,377.4945,58,2,192.168.0.223,5
468,66,-43.29566,381.9667,61,2,192.168.0.223,6
469,67,-232.1539,-308.9237,358,1,192.168.0.224,0
470,67,-231.1283,-307.5587,361,1,192.168.0.224,1
471,67,-234.8455,-311.3938,364,1,192.168.0.224,2
472,67,-237.1669,-308.5803,367,1,192.168.0.224,3
473,67,-231.9437,-302.7543,370,1,192.168.0.224,4
474,67,-226.823,-307.6433,373,1,192.168.0.224,5
475,67,-227.6403,-312.9597,376,1,192.168.0.224,6
476,68,382.3782,71.44431,169,1,192.168.0.225,0
477,68,380.6999,71.13053,172,1,192.168.0.225,1
478,68,386.0314,71.44749,175,1,192.168.0.225,2
