BaseId,x,z,DistFromCtr,Theta,ChannelStart,PathId,NearestTheta5,DistFromCenterOnTheta5,DistFromTheta5
126,504.6751,-591.1403,777.2668,139.5116,169,Path26,140,777.2386,-6.625986
127,591.1416,-504.6736,777.2669,130.4883,148,Path26,130,777.2387,6.623774
128,662.9769,-405.716,777.2669,121.465,127,Path26,120,777.0129,19.87172
129,718.4031,-296.7166,777.2669,112.4417,106,Path26,110,776.5612,33.1139
130,756.0483,-180.3733,777.2668,103.4185,85,Path26,105,776.9706,-21.45263
131,774.9811,-59.56572,777.2668,94.39517,64,Path26,95,777.2235,-8.205225
132,894.8274,59.58157,896.8088,86.19061,148,Path18,85,896.6152,18.63449
133,877.0565,187.1843,896.8088,77.95248,169,Path18,80,896.2362,-32.04133
134,841.185,310.924,896.8087,69.71436,190,Path18,70,896.7976,-4.470798
135,787.9535,428.2469,896.8089,61.47626,211,Path18,60,896.5113,23.10404
136,718.4602,536.7318,896.8088,53.23813,232,Path18,55,896.3848,-27.57307
137,634.1396,634.1396,896.8088,45,253,Path18,45,896.8087,-8.631674E-05
138,536.7317,718.4602,896.8088,36.76187,274,Path18,35,896.3848,27.57302
139,428.2468,787.9535,896.8088,28.52374,295,Path18,30,896.5112,-23.10404
140,310.924,841.185,896.8087,20.28564,316,Path18,20,896.7976,4.470712
141,187.1842,877.0565,896.8088,12.04749,337,Path18,10,896.2362,32.04118
142,59.58149,894.8274,896.8088,3.809387,358,Path18,5,896.6152,-18.63464
143,-59.58168,894.8274,896.8088,356.1906,484,Path4,355,896.6152,18.63441
144,-187.1844,877.0565,896.8088,347.9525,463,Path4,350,896.2362,-32.04142
145,-310.9241,841.185,896.8088,339.7144,442,Path4,340,896.7977,-4.470876
146,-428.2469,787.9535,896.8089,331.4763,421,Path4,330,896.5113,23.10409
147,-536.7317,718.4602,896.8088,323.2381,400,Path4,325,896.3848,-27.57297
148,-634.1396,634.1396,896.8088,315,379,Path4,315,896.8087,-8.631674E-05
149,-718.4602,536.7317,896.8088,306.7619,358,Path4,305,896.3848,27.57302
150,-787.9535,428.2469,896.8089,298.5237,337,Path4,300,896.5113,-23.10409
151,-841.185,310.924,896.8087,290.2856,316,Path4,290,896.7975,4.470727
152,-877.0565,187.1843,896.8088,282.0475,295,Path4,280,896.2362,32.04118
153,-894.8274,59.58156,896.8088,273.8094,274,Path4,275,896.6152,-18.63464
154,-894.8274,-59.5815,896.8088,266.1906,463,Path11,265,896.6152,18.63463
155,-877.0565,-187.1843,896.8088,257.9525,484,Path11,260,896.2362,-32.04122
