BaseId,x,z,DistFromCtr,Theta,ChannelStart,PathId,NearestTheta5,DistFromCenterOnTheta5,DistFromTheta5
26,-167.4036,325.9979,366.4677,332.819,85,Path4,335,366.2023,-13.94652
27,-259.1318,259.1318,366.4677,315,64,Path4,315,366.4678,-4.315837E-05
28,-325.9979,167.4036,366.4677,297.181,43,Path4,295,366.2023,13.94652
29,-361.5864,59.61415,366.4677,279.3621,22,Path4,280,366.445,-4.080393
30,-361.5864,-59.61404,366.4677,260.638,253,Path8,260,366.4449,4.080473
31,-325.9979,-167.4035,366.4677,242.819,274,Path8,245,366.2022,-13.94644
32,-259.1319,-259.1317,366.4677,225,295,Path8,225,366.4678,9.155273E-05
33,-167.4038,-325.9978,366.4677,207.181,316,Path8,205,366.2023,13.94675
34,-59.61426,-361.5864,366.4677,189.3621,337,Path8,190,366.445,-4.08022
35,59.61393,-361.5864,366.4677,170.638,295,Path17,170,366.4449,4.080558
36,167.4035,-325.9981,366.4678,152.819,274,Path17,155,366.2024,-13.94633
37,259.1317,-259.132,366.4677,135,253,Path17,135,366.4678,0.0001779465
38,325.9977,-167.4039,366.4677,117.1811,232,Path17,115,366.2022,13.94674
39,361.5864,-59.61438,366.4677,99.36206,211,Path17,100,366.4451,-4.080225
40,465.1168,59.71757,468.9348,82.68365,463,Path12,85,468.5516,-18.95274
41,440.9962,159.4431,468.9347,70.12244,442,Path12,70,468.9336,1.002116
42,395.7645,251.5357,468.9347,57.56122,421,Path12,60,468.51,-19.95406
43,331.5869,331.5869,468.9347,45,400,Path12,45,468.9347,-4.315837E-05
44,251.5357,395.7646,468.9347,32.43878,379,Path12,30,468.51,19.95404
45,159.443,440.9962,468.9347,19.87756,358,Path12,20,468.9335,-1.00219
46,59.71754,465.1168,468.9347,7.316345,337,Path12,5,468.5515,18.95267
47,-59.71757,465.1168,468.9348,352.6837,379,Path3,355,468.5516,-18.95272
48,-159.443,440.9962,468.9347,340.1224,400,Path3,340,468.9336,1.00214
49,-251.5357,395.7646,468.9348,327.5612,421,Path3,330,468.51,-19.95401
50,-331.5869,331.5869,468.9347,315,442,Path3,315,468.9347,-4.315837E-05
51,-395.7646,251.5357,468.9348,302.4388,463,Path3,300,468.51,19.95401
52,-440.9962,159.443,468.9347,289.8776,484,Path3,290,468.9336,-1.00218
53,-465.1168,59.71757,468.9348,277.3163,1,Path4,275,468.5515,18.95267
54,-465.1168,-59.71754,468.9347,262.6837,232,Path8,265,468.5515,-18.95266
55,-440.9962,-159.443,468.9347,250.1224,211,Path8,250,468.9335,1.002176
56,-395.7646,-251.5357,468.9347,237.5612,190,Path8,240,468.51,-19.95404
57,-331.5869,-331.5869,468.9347,225,169,Path8,225,468.9347,-6.103516E-05
58,-251.5357,-395.7645,468.9347,212.4388,148,Path8,210,468.51,19.95412
59,-159.443,-440.9962,468.9347,199.8775,127,Path8,200,468.9335,-1.002151
60,-59.71739,-465.1168,468.9348,187.3163,106,Path8,185,468.5516,18.95256
61,59.71784,-465.1168,468.9348,172.6837,64,Path17,175,468.5516,-18.953
62,159.4434,-440.9961,468.9347,160.1224,85,Path17,160,468.9336,1.00173
63,251.5361,-395.7643,468.9348,147.5612,106,Path17,150,468.51,-19.95457
64,331.5874,-331.5866,468.9348,134.9999,127,Path17,135,468.9348,-0.0006488126
65,395.7649,-251.5351,468.9347,122.4387,148,Path17,120,468.51,19.95322
66,440.9966,-159.4423,468.9348,109.8774,169,Path17,110,468.9338,-1.003098
67,465.1169,-59.71664,468.9348,97.31622,190,Path17,95,468.5516,18.95165
68,568.267,59.77063,571.4017,83.99567,169,Path12,85,571.3141,-10.01546
69,546.0068,168.4531,571.4017,72.85406,190,Path12,75,571.001,-21.39621
70,503.165,270.7856,571.4017,61.71243,211,Path12,60,571.1465,17.07528
71,441.3565,362.911,571.4017,50.5708,232,Path12,50,571.3734,5.69252
72,362.911,441.3565,571.4017,39.4292,253,Path12,40,571.3734,-5.692544
73,270.7856,503.1651,571.4017,28.28757,274,Path12,30,571.1465,-17.07534
74,168.4529,546.0068,571.4017,17.14594,295,Path12,15,571.0009,21.39603
75,59.77055,568.267,571.4017,6.004333,316,Path12,5,571.3141,10.01534
76,-59.77072,568.267,571.4017,353.9957,358,Path3,355,571.3141,-10.01553
77,-168.4532,546.0068,571.4017,342.8541,337,Path3,345,571.001,-21.3963
78,-270.7857,503.165,571.4017,331.7124,316,Path3,330,571.1465,17.07523
79,-362.9111,441.3564,571.4017,320.5708,295,Path3,320,571.3734,5.692371
80,-441.3565,362.9108,571.4017,309.4292,274,Path3,310,571.3733,-5.692739
81,-503.1651,270.7855,571.4017,298.2875,253,Path3,300,571.1465,-17.07551
82,-546.0068,168.4529,571.4017,287.1459,232,Path3,285,571.0009,21.39599
83,-568.267,59.77044,571.4017,276.0043,211,Path3,275,571.3138,10.01517
84,-568.267,-59.77081,571.4018,263.9957,442,Path7,265,571.3141,-10.01559
85,-546.0068,-168.4532,571.4017,252.854,463,Path7,255,571.001,-21.39635
86,-503.1649,-270.7858,571.4017,241.7124,484,Path7,240,571.1465,17.07508
87,-441.3563,-362.9111,571.4017,230.5708,1,Path8,230,571.3734,5.692286
88,-362.9106,-441.3567,571.4017,219.4291,22,Path8,220,571.3733,-5.692825
89,-270.7853,-503.1653,571.4017,208.2875,43,Path8,210,571.1465,-17.07565
90,-168.4527,-546.0069,571.4017,197.1459,64,Path8,195,571.0009,21.39582
91,-59.77021,-568.267,571.4017,186.0043,85,Path8,185,571.314,10.01506
92,59.77104,-568.267,571.4018,173.9956,43,Path17,175,571.3141,-10.01587
93,168.4535,-546.0067,571.4017,162.854,22,Path17,165,571.0009,-21.39667
94,270.786,-503.1649,571.4017,151.7124,1,Path17,150,571.1466,17.07481
95,362.9113,-441.3562,571.4017,140.5708,484,Path16,140,571.3733,5.692039
96,441.3568,-362.9106,571.4018,129.4291,463,Path16,130,571.3734,-5.693106
97,503.1653,-270.7852,571.4017,118.2875,442,Path16,120,571.1464,-17.07591
98,546.0071,-168.4526,571.4018,107.1459,421,Path16,105,571.001,21.39553
